id,product,color,size,quantity,currency,initial_price,expense_percentage,expense_fixed,final_price,sale_price,in_stock,is_active,no_change_product,no_change_color,no_change_size,no_change_brand,no_change_currency,delete?
87,12,5,5,0,,0,0,0,0,0,False,True,Jorap -6,No Variation,No Variation,VisneBebe,,
103,12,6,5,10,,11,100,0,22,22,True,True,Jorap -6,Yellow,No Variation,VisneBebe,,
117,12,8,5,10,,20,100,0,22,22,True,True,Jorap -6,Black,No Variation,VisneBebe,,
88,13,7,5,10,,11,100,10,32,32,True,True,Jorap -5,Blue,No Variation,VisneBebe,,
104,13,6,5,10,,31,100,10,32,32,True,True,Jorap -5,Yellow,No Variation,VisneBebe,,
118,13,8,5,10,,12,100,10,32,32,True,True,Jorap -5,Black,No Variation,VisneBebe,,
89,14,7,5,10,,61,100,10,132,132,True,True,Jorap -4,Blue,No Variation,VisneBebe,,
105,14,6,5,10,,71,100,10,132,132,True,True,Jorap -4,Yellow,No Variation,VisneBebe,,
119,14,8,5,10,,81,100,10,132,132,True,True,Jorap -4,Black,No Variation,VisneBebe,,
90,15,7,5,10,,60,100,10,130,130,True,True,Jorap -3,Blue,No Variation,VisneBebe,,
106,15,6,5,10,,120,100,10,130,130,True,True,Jorap -3,Yellow,No Variation,VisneBebe,,
120,15,8,5,10,,130,100,10,130,130,True,True,Jorap -3,Black,No Variation,VisneBebe,,
91,16,7,5,10,,31,100,10,72,72,True,True,Jorap -2,Blue,No Variation,VisneBebe,,
107,16,6,5,10,,130,100,10,72,72,True,True,Jorap -2,Yellow,No Variation,VisneBebe,,
121,16,8,5,10,,140,100,10,72,72,True,True,Jorap -2,Black,No Variation,VisneBebe,,
92,17,7,5,10,,71,100,10,152,152,True,True,Jorap -1,Blue,No Variation,VisneBebe,,
108,17,6,5,10,,140,100,10,152,152,True,True,Jorap -1,Yellow,No Variation,VisneBebe,,
122,17,8,5,10,,15,100,10,152,152,True,True,Jorap -1,Black,No Variation,VisneBebe,,
93,18,7,5,10,,24,100,10,58,58,True,True,Koynek,Blue,No Variation,VisneBebe,,
109,18,6,5,10,,200,100,10,58,58,True,True,Koynek,Yellow,No Variation,VisneBebe,,
123,18,8,5,10,,250,100,10,58,58,True,True,Koynek,Black,No Variation,VisneBebe,,
94,19,7,5,10,,31,100,10,72,72,True,True,Sweater,Blue,No Variation,VisneBebe,,
110,19,6,5,10,,310,100,10,72,72,True,True,Sweater,Yellow,No Variation,VisneBebe,,
124,19,8,5,10,,500,100,10,72,72,True,True,Sweater,Black,No Variation,VisneBebe,,
95,20,7,5,10,,35,100,10,80,80,True,True,T-shirt,Blue,No Variation,VisneBebe,,
111,20,6,5,10,,251,100,10,80,80,True,True,T-shirt,Yellow,No Variation,VisneBebe,,
125,20,8,5,10,,254,100,10,80,80,True,True,T-shirt,Black,No Variation,VisneBebe,,
96,21,7,5,10,,66,100,10,142,142,True,True,Body,Blue,No Variation,VisneBebe,,
112,21,6,5,10,,156,100,10,142,142,True,True,Body,Yellow,No Variation,VisneBebe,,
126,21,8,5,10,,550,100,10,142,142,True,True,Body,Black,No Variation,VisneBebe,,
97,22,7,5,10,,18,100,10,46,46,True,True,caga esik dukanyndan,Blue,No Variation,LCW,,
113,22,6,5,10,,550,100,10,46,46,True,True,caga esik dukanyndan,Yellow,No Variation,LCW,,
127,22,8,5,10,,650,100,10,46,46,True,True,caga esik dukanyndan,Black,No Variation,LCW,,
98,23,7,5,10,,71,100,10,152,152,True,True,Wrangler T-Shirt,Blue,No Variation,LCW,,
114,23,6,5,10,,1000,100,10,152,152,True,True,Wrangler T-Shirt,Yellow,No Variation,LCW,,
128,23,8,5,10,,2002,100,10,152,152,True,True,Wrangler T-Shirt,Black,No Variation,LCW,,
99,24,7,5,10,,15,100,10,40,40,True,True,US Polo Jacket,Blue,No Variation,LCW,,
115,24,6,5,10,,5000,100,10,40,40,True,True,US Polo Jacket,Yellow,No Variation,LCW,,
129,24,8,5,10,,15000,100,10,40,40,True,True,US Polo Jacket,Black,No Variation,LCW,,
100,25,7,5,10,,550,100,10,96,96,True,True,ATX-Jeans test,Blue,No Variation,,,
116,25,6,5,10,,1520,100,10,96,96,True,True,ATX-Jeans test,Yellow,No Variation,,,
130,25,8,5,10,,11225,100,10,96,96,True,True,ATX-Jeans test,Black,No Variation,,,
