id,owner,brand,product_code,product_name,description,is_available,category
133,1,VisneBebe,22,dayakgap,some description,True,3
132,1,VisneBebe,21,tayakgap,some description1,True,1
131,1,VisneBebe,20,sayakgap,some description1,True,2
130,1,VisneBebe,19,mayakgap,some description1,True,2
129,1,VisneBebe,18,Ayakgap,some description1,True,2
128,1,VisneBebe,17,Kowus,some description1,True,2
127,1,VisneBebe,16,Jeans,some description1,True,2
126,1,VisneBebe,15,Pantalon,some description1,True,2
125,1,VisneBebe,14,Jorap -10,some description1,True,2
124,1,VisneBebe,13,Jorap -9,some description1,True,2
123,1,VisneBebe,12,Jorap -8,some description1,True,2
122,1,VisneBebe,11,Jorap -7,some description1,True,2
121,2,VisneBebe,10,Jorap -6,some description1,True,2
120,2,VisneBebe,9,Jorap -5,some description1,True,2
119,2,VisneBebe,8,Jorap -4,some description1,True,2
118,2,VisneBebe,7,Jorap -3,some description1,True,2
117,2,VisneBebe,6,Jorap -2,some description1,True,2
116,2,VisneBebe,5,Jorap -1,some description1,True,2
115,2,VisneBebe,4,Koynek,some description1,True,2
114,2,VisneBebe,3,Sweater,some description1,True,2
113,2,VisneBebe,2,T-shirt,some description1,True,2
112,2,VisneBebe,1,Body,some description1,True,2
38,2,LCW,,caga esik dukanyndan,manual description2,True,2
4,2,LCW,,Wrangler T-Shirt,manual description2,True,2
3,2,LCW,,US Polo Jacket,manual description2,True,2
1,2,,,ATX-Jeans test,manual description2,True,2
