id,product,owner,color,size,quantity,currency,initial_price,expense_percentage,expense_fixed,final_price,sale_price,in_stock,is_active,no_change_product,no_change_color,no_change_size,no_change_brand,no_change_currency,delete?
2,1,1,6,6,21,,456,100,50,962,962,True,True,ATX-Jeans test,Yellow,S,,,
3,1,1,7,6,25,10,55,100,50,160,160,True,True,ATX-Jeans test,Blue,S,,USD,
4,1,1,8,6,100,10,23,100,50,96,96,True,True,ATX-Jeans test,Black,S,,USD,
5,3,1,6,6,218,10,34,100,20,88,88,True,True,US Polo Jacket,Yellow,S,LCW,USD,
6,3,1,6,7,232,10,23,100,20,66,66,True,True,US Polo Jacket,Yellow,M,LCW,USD,
7,3,1,6,8,221,10,45,100,20,110,110,True,True,US Polo Jacket,Yellow,L,LCW,USD,
8,3,1,7,7,15,10,56,100,20,132,132,True,True,US Polo Jacket,Blue,M,LCW,USD,
9,4,1,5,6,43,10,234,10,51,308.4,308.4,True,True,Wrangler T-Shirt,No Variation,S,LCW,USD,
10,4,1,5,7,50,10,346,10,51,431.6,431.6,True,True,Wrangler T-Shirt,No Variation,M,LCW,USD,
11,4,1,5,8,63,10,234,10,51,308.4,308.4,True,True,Wrangler T-Shirt,No Variation,L,LCW,USD,
39,1,1,6,7,3,10,23,100,50,96,96,True,True,ATX-Jeans test,Yellow,M,,USD,
40,1,1,7,7,100,10,45,100,50,140,140,True,True,ATX-Jeans test,Blue,M,,USD,
41,1,1,8,7,3,10,50,100,50,150,150,True,True,ATX-Jeans test,Black,M,,USD,
42,1,1,8,8,5,10,23,100,50,96,96,True,True,ATX-Jeans test,Black,L,,USD,
43,1,1,6,8,100,10,50,100,50,150,150,True,True,ATX-Jeans test,Yellow,L,,USD,
44,1,1,7,8,22,10,50,100,50,150,150,True,True,ATX-Jeans test,Blue,L,,USD,
45,1,1,7,5,1,10,50,100,50,150,150,True,True,ATX-Jeans test,Blue,No Variation,,USD,
48,38,1,5,5,100,10,200,50,0,300,300,True,True,caga esik dukanyndan,No Variation,No Variation,LCW,USD,
53,112,1,5,5,10,10,50,100,0,0,0,False,True,Body,No Variation,No Variation,VisneBebe,,
54,113,1,5,5,10,10,50,100,0,0,0,False,True,T-shirt,No Variation,No Variation,VisneBebe,,
55,114,1,5,5,10,10,50,100,0,0,0,False,True,Sweater,No Variation,No Variation,VisneBebe,,
56,115,1,5,5,10,10,50,100,0,0,0,False,True,Koynek,No Variation,No Variation,VisneBebe,,
57,116,1,5,5,10,10,10,100,5,0,0,False,True,Jorap -1,No Variation,No Variation,VisneBebe,,
58,117,1,5,5,10,10,10,100,5,0,0,False,True,Jorap -2,No Variation,No Variation,VisneBebe,,
59,118,1,5,5,10,10,10,100,5,0,0,False,True,Jorap -3,No Variation,No Variation,VisneBebe,,
60,119,1,5,5,10,10,10,100,5,0,0,False,True,Jorap -4,No Variation,No Variation,VisneBebe,,
61,120,1,5,5,10,10,10,100,5,0,0,False,True,Jorap -5,No Variation,No Variation,VisneBebe,,
62,121,1,5,5,10,10,10,100,5,0,0,False,True,Jorap -6,No Variation,No Variation,VisneBebe,,
63,122,1,5,5,10,10,10,100,5,0,0,False,True,Jorap -7,No Variation,No Variation,VisneBebe,,
64,123,1,5,5,10,10,10,100,5,0,0,False,True,Jorap -8,No Variation,No Variation,VisneBebe,,
65,124,1,5,5,10,10,10,100,5,0,0,False,True,Jorap -9,No Variation,No Variation,VisneBebe,,
66,125,1,5,5,10,10,10,100,5,0,0,False,True,Jorap -10,No Variation,No Variation,VisneBebe,,
67,126,1,5,5,10,10,100,100,0,0,0,False,True,Pantalon,No Variation,No Variation,VisneBebe,,
68,127,1,5,5,10,10,150,100,0,0,0,False,True,Jeans,No Variation,No Variation,VisneBebe,,
69,128,1,5,5,10,10,170,100,0,0,0,False,True,Kowus,No Variation,No Variation,VisneBebe,,
70,129,1,5,5,10,10,145,100,0,0,0,False,True,Ayakgap,No Variation,No Variation,VisneBebe,,
71,130,1,5,5,10,10,15,100,0,0,0,False,True,mayakgap,No Variation,No Variation,VisneBebe,,
72,131,1,5,5,10,10,123,100,0,0,0,False,True,sayakgap,No Variation,No Variation,VisneBebe,,
73,132,1,5,5,10,10,15,100,0,0,0,False,True,tayakgap,No Variation,No Variation,VisneBebe,,
74,133,1,5,5,10,10,52,100,0,0,0,False,True,dayakgap,No Variation,No Variation,VisneBebe,,
