id,product,owner,color,size,quantity,currency,initial_price,expense_percentage,expense_fixed,final_price,sale_price,in_stock,is_active,no_change_product,no_change_color,no_change_size,no_change_brand,no_change_currency,delete?
2,1,1,6,6,21,,456.0,100.0,50.0,962.0,962.0,True,True,ATX-Jeans test,Yellow,S,,
3,1,1,7,6,25,,55.0,100.0,50.0,160.0,160.0,True,True,ATX-Jeans test,Blue,S,,
4,1,1,8,6,0,,23.0,100.0,50.0,96.0,96.0,False,True,ATX-Jeans test,Black,S,,
5,3,1,6,6,218,,34.0,100.0,20.0,88.0,88.0,True,True,US Polo Jacket,Yellow,S,LCW,
6,3,1,6,7,232,,23.0,100.0,20.0,66.0,66.0,True,True,US Polo Jacket,Yellow,M,LCW,
7,3,1,6,8,221,,45.0,100.0,20.0,110.0,110.0,True,True,US Polo Jacket,Yellow,L,LCW,
8,3,1,7,7,15,,56.0,100.0,20.0,132.0,132.0,True,True,US Polo Jacket,Blue,M,LCW,
9,4,1,5,6,43,10,234.0,10.0,51.0,308.4,308.4,True,True,Wrangler T-Shirt,No Variation,S,LCW,USD
10,4,1,5,7,50,10,346.0,10.0,51.0,431.6,431.6,True,True,Wrangler T-Shirt,No Variation,M,LCW,USD
11,4,1,5,8,63,10,234.0,10.0,51.0,308.4,308.4,True,True,Wrangler T-Shirt,No Variation,L,LCW,USD
39,1,1,6,7,3,,23.0,100.0,50.0,96.0,96.0,True,True,ATX-Jeans test,Yellow,M,,
40,1,1,7,7,0,,45.0,100.0,50.0,140.0,140.0,False,True,ATX-Jeans test,Blue,M,,
41,1,1,8,7,3,,50.0,100.0,50.0,150.0,150.0,True,True,ATX-Jeans test,Black,M,,
42,1,1,8,8,5,,23.0,100.0,50.0,96.0,96.0,True,True,ATX-Jeans test,Black,L,,
43,1,1,6,8,0,,50.0,100.0,50.0,150.0,150.0,False,True,ATX-Jeans test,Yellow,L,,
44,1,1,7,8,22,,50.0,100.0,50.0,150.0,150.0,True,True,ATX-Jeans test,Blue,L,,
45,1,1,7,5,1,,50.0,100.0,50.0,150.0,150.0,True,True,ATX-Jeans test,Blue,No Variation,,
48,38,1,5,5,0,10,200.0,50.0,0.0,300.0,300.0,False,True,caga esik dukanyndan,No Variation,No Variation,LCW,USD
49,39,1,5,5,5,10,100.0,50.0,20.0,170.0,170.0,True,True,surat etst,No Variation,No Variation,LCW,USD
