id,product,color,size,quantity,currency,initial_price,expense_percentage,expense_fixed,final_price,sale_price,in_stock,is_active,no_change_product,no_change_color,no_change_size,no_change_brand,no_change_currency,delete?
87,12,5,5,0,,0.0,0.0,0.0,0.0,0.0,False,True,Jorap -6,No Variation,No Variation,VisneBebe,
103,12,6,5,10,,11.0,100.0,0.0,22.0,22.0,True,True,Jorap -6,Yellow,No Variation,VisneBebe,
117,12,8,5,10,,11.0,100.0,0.0,22.0,22.0,True,True,Jorap -6,Black,No Variation,VisneBebe,
88,13,7,5,10,,11.0,100.0,10.0,32.0,32.0,True,True,Jorap -5,Blue,No Variation,VisneBebe,
104,13,6,5,10,,11.0,100.0,10.0,32.0,32.0,True,True,Jorap -5,Yellow,No Variation,VisneBebe,
118,13,8,5,10,,11.0,100.0,10.0,32.0,32.0,True,True,Jorap -5,Black,No Variation,VisneBebe,
89,14,7,5,10,,61.0,100.0,10.0,132.0,132.0,True,True,Jorap -4,Blue,No Variation,VisneBebe,
105,14,6,5,10,,61.0,100.0,10.0,132.0,132.0,True,True,Jorap -4,Yellow,No Variation,VisneBebe,
119,14,8,5,10,,61.0,100.0,10.0,132.0,132.0,True,True,Jorap -4,Black,No Variation,VisneBebe,
90,15,7,5,10,,60.0,100.0,10.0,130.0,130.0,True,True,Jorap -3,Blue,No Variation,VisneBebe,
106,15,6,5,10,,60.0,100.0,10.0,130.0,130.0,True,True,Jorap -3,Yellow,No Variation,VisneBebe,
120,15,8,5,10,,60.0,100.0,10.0,130.0,130.0,True,True,Jorap -3,Black,No Variation,VisneBebe,
91,16,7,5,10,,31.0,100.0,10.0,72.0,72.0,True,True,Jorap -2,Blue,No Variation,VisneBebe,
107,16,6,5,10,,31.0,100.0,10.0,72.0,72.0,True,True,Jorap -2,Yellow,No Variation,VisneBebe,
121,16,8,5,10,,31.0,100.0,10.0,72.0,72.0,True,True,Jorap -2,Black,No Variation,VisneBebe,
92,17,7,5,10,,71.0,100.0,10.0,152.0,152.0,True,True,Jorap -1,Blue,No Variation,VisneBebe,
108,17,6,5,10,,71.0,100.0,10.0,152.0,152.0,True,True,Jorap -1,Yellow,No Variation,VisneBebe,
122,17,8,5,10,,71.0,100.0,10.0,152.0,152.0,True,True,Jorap -1,Black,No Variation,VisneBebe,
93,18,7,5,10,,24.0,100.0,10.0,58.0,58.0,True,True,Koynek,Blue,No Variation,VisneBebe,
109,18,6,5,10,,24.0,100.0,10.0,58.0,58.0,True,True,Koynek,Yellow,No Variation,VisneBebe,
123,18,8,5,10,,24.0,100.0,10.0,58.0,58.0,True,True,Koynek,Black,No Variation,VisneBebe,
94,19,7,5,10,,31.0,100.0,10.0,72.0,72.0,True,True,Sweater,Blue,No Variation,VisneBebe,
110,19,6,5,10,,31.0,100.0,10.0,72.0,72.0,True,True,Sweater,Yellow,No Variation,VisneBebe,
124,19,8,5,10,,31.0,100.0,10.0,72.0,72.0,True,True,Sweater,Black,No Variation,VisneBebe,
95,20,7,5,10,,35.0,100.0,10.0,80.0,80.0,True,True,T-shirt,Blue,No Variation,VisneBebe,
111,20,6,5,10,,35.0,100.0,10.0,80.0,80.0,True,True,T-shirt,Yellow,No Variation,VisneBebe,
125,20,8,5,10,,35.0,100.0,10.0,80.0,80.0,True,True,T-shirt,Black,No Variation,VisneBebe,
96,21,7,5,10,,66.0,100.0,10.0,142.0,142.0,True,True,Body,Blue,No Variation,VisneBebe,
112,21,6,5,10,,66.0,100.0,10.0,142.0,142.0,True,True,Body,Yellow,No Variation,VisneBebe,
126,21,8,5,10,,66.0,100.0,10.0,142.0,142.0,True,True,Body,Black,No Variation,VisneBebe,
97,22,7,5,10,,18.0,100.0,10.0,46.0,46.0,True,True,caga esik dukanyndan,Blue,No Variation,LCW,
113,22,6,5,10,,18.0,100.0,10.0,46.0,46.0,True,True,caga esik dukanyndan,Yellow,No Variation,LCW,
127,22,8,5,10,,18.0,100.0,10.0,46.0,46.0,True,True,caga esik dukanyndan,Black,No Variation,LCW,
98,23,7,5,10,,71.0,100.0,10.0,152.0,152.0,True,True,Wrangler T-Shirt,Blue,No Variation,LCW,
114,23,6,5,10,,71.0,100.0,10.0,152.0,152.0,True,True,Wrangler T-Shirt,Yellow,No Variation,LCW,
128,23,8,5,10,,71.0,100.0,10.0,152.0,152.0,True,True,Wrangler T-Shirt,Black,No Variation,LCW,
99,24,7,5,10,,15.0,100.0,10.0,40.0,40.0,True,True,US Polo Jacket,Blue,No Variation,LCW,
115,24,6,5,10,,15.0,100.0,10.0,40.0,40.0,True,True,US Polo Jacket,Yellow,No Variation,LCW,
129,24,8,5,10,,15.0,100.0,10.0,40.0,40.0,True,True,US Polo Jacket,Black,No Variation,LCW,
100,25,7,5,10,,43.0,100.0,10.0,96.0,96.0,True,True,ATX-Jeans test,Blue,No Variation,,
116,25,6,5,10,,43.0,100.0,10.0,96.0,96.0,True,True,ATX-Jeans test,Yellow,No Variation,,
130,25,8,5,10,,43.0,100.0,10.0,96.0,96.0,True,True,ATX-Jeans test,Black,No Variation,,
